statecode,policyID,county_name,line
FL,119736,CLAY COUNTY,Residential
FL,448094,CLAY COUNTY,Residential
FL,206893,CLAY COUNTY,Residential
FL,333743,CLAY COUNTY,Residential
FL,172534,CLAY COUNTY,Residential
FL,785275,CLAY COUNTY,Residential
FL,995932,CLAY COUNTY,Commercial
FL,223488,CLAY COUNTY,Residential
FL,433512,CLAY COUNTY,Residential
FL,142071,CLAY COUNTY,Residential
FL,253816,CLAY COUNTY,Residential
FL,894922,CLAY COUNTY,Residential
FL,422834,CLAY COUNTY,Residential
FL,582721,CLAY COUNTY,Residential
FL,842700,CLAY COUNTY,Residential
FL,874333,CLAY COUNTY,Residential
FL,580146,CLAY COUNTY,Residential
FL,456149,CLAY COUNTY,Residential
FL,767862,CLAY COUNTY,Residential
FL,353022,CLAY COUNTY,Residential
FL,367814,CLAY COUNTY,Residential
FL,671392,CLAY COUNTY,Commercial
FL,772887,CLAY COUNTY,Residential
FL,983122,CLAY COUNTY,Residential
FL,934215,CLAY COUNTY,Residential
FL,385951,CLAY COUNTY,Residential
FL,716332,CLAY COUNTY,Residential
FL,751262,CLAY COUNTY,Residential
FL,633663,CLAY COUNTY,Residential
FL,105851,CLAY COUNTY,Residential
FL,710400,CLAY COUNTY,Residential
FL,703001,CLAY COUNTY,Residential
FL,352792,CLAY COUNTY,Residential
FL,717603,CLAY COUNTY,Residential
FL,937659,SUWANNEE COUNTY,Residential
FL,294022,SUWANNEE COUNTY,Residential
FL,410500,SUWANNEE COUNTY,Residential
FL,524433,SUWANNEE COUNTY,Residential
FL,779298,SUWANNEE COUNTY,Residential
FL,491831,SUWANNEE COUNTY,Residential
FL,814637,SUWANNEE COUNTY,Residential
FL,737515,SUWANNEE COUNTY,Residential
FL,222653,SUWANNEE COUNTY,Residential
FL,788543,SUWANNEE COUNTY,Residential
FL,691681,SUWANNEE COUNTY,Residential
FL,368807,SUWANNEE COUNTY,Residential
FL,174002,SUWANNEE COUNTY,Residential
FL,198760,SUWANNEE COUNTY,Residential
FL,831395,SUWANNEE COUNTY,Residential
FL,305698,SUWANNEE COUNTY,Residential
FL,515722,SUWANNEE COUNTY,Residential
FL,415582,SUWANNEE COUNTY,Residential
FL,783533,SUWANNEE COUNTY,Residential
FL,640802,SUWANNEE COUNTY,Residential
